Accuracy,MacroF1,TPR_gap,DP_gap,Welfare,seed,lambda_norm
0.76,0.625,0.006832298136645987,0.045205479452054775,-36000114.0,4,0.6
0.7466666666666667,0.5828454332552694,0.01904761904761909,0.01853881278538816,-38000112.0,4,1.0
0.74,0.5393338058114813,0.0,0.02630136986301368,-39000111.0,4,1.5
0.7333333333333333,0.52,0.0,0.01963470319634697,-40000110.0,4,2.0
0.6933333333333334,0.5714285714285714,0.07625786163522019,0.07873873873873871,-46000104.0,5,0.0
0.7,0.5581014729950899,0.06289308176100628,0.05891891891891898,-45000105.0,5,0.3
0.6866666666666666,0.527828008840667,0.06289308176100628,0.05909909909909916,-47000103.0,5,0.6
0.6933333333333334,0.5208333333333334,0.04009433962264153,0.039099099099099144,-46000104.0,5,1.0
0.7066666666666667,0.5169789227166276,0.026729559748427723,0.03945945945945939,-44000106.0,5,1.5
0.7,0.4990723562152134,0.026729559748427723,0.03279279279279279,-45000105.0,5,2.0
0.78,0.6684749849306811,0.02912087912087913,0.05548387096774188,-33000117.0,6,0.0
0.7733333333333333,0.6366486178398404,0.009706959706959783,0.038279569892473164,-34000116.0,6,0.3
0.7466666666666667,0.5709123757904246,0.009706959706959783,0.02774193548387105,-38000112.0,6,0.6
0.7333333333333333,0.52,0.0,0.017204301075268824,-40000110.0,6,1.0
0.72,0.4791666666666667,0.0,0.020000000000000018,-42000108.0,6,1.5
0.72,0.4791666666666667,0.0,0.020000000000000018,-42000108.0,6,2.0
0.7,0.6000000000000001,0.02683438155136275,0.02190476190476187,-45000105.0,7,0.0
0.72,0.6162280701754386,0.03291404612159332,0.027619047619047654,-42000108.0,7,0.3
0.72,0.6162280701754386,0.03291404612159332,0.027619047619047654,-42000108.0,7,0.6
0.7,0.5765104460756635,0.03291404612159332,0.01904761904761909,-45000105.0,7,1.0
0.7266666666666667,0.5973813420621932,0.04842767295597483,0.03142857142857136,-41000109.0,7,1.5
0.7133333333333334,0.5463816020817216,0.04507337526205457,0.014285714285714346,-43000107.0,7,2.0
0.7133333333333334,0.5680128591520996,0.0079825834542816,0.02218905472636823,-43000107.0,8,0.0
0.7333333333333333,0.5725277856939299,0.00870827285921627,0.018706467661691595,-40000110.0,8,0.3
0.7333333333333333,0.5608899297423888,0.0007256894049346707,0.005373134328358176,-40000110.0,8,0.6
0.72,0.5114764267990075,0.00907111756168355,0.00855721393034825,-42000108.0,8,1.0
0.72,0.5114764267990075,0.00907111756168355,0.00855721393034825,-42000108.0,8,1.5
0.7133333333333334,0.4755671192779901,0.00036284470246739087,0.011442786069651767,-43000107.0,8,2.0
0.7466666666666667,0.613716454323665,0.011204481792717047,0.02882629107981216,-38000112.0,9,0.0
0.7266666666666667,0.5674801322174555,0.011204481792717047,0.022910798122065756,-41000109.0,9,0.3
0.7333333333333333,0.5608899297423888,0.010644257703081195,0.01699530516431924,-40000110.0,9,0.6
0.7266666666666667,0.5302115957528073,0.0005602240896358524,0.0030046948356807768,-41000109.0,9,1.0
0.72,0.5114764267990075,0.0005602240896358524,0.004413145539906016,-42000108.0,9,1.5
0.7133333333333334,0.49208599102291517,0.0005602240896358524,0.01183098591549303,-43000107.0,9,2.0
