Accuracy,MacroF1,TPR_gap,DP_gap,Welfare,seed,lambda_norm
0.6733333333333333,0.5188216039279869,0.03839159426146688,0.060512820512820586,-49000101.0,4,1.5
0.6533333333333333,0.47140146381133097,0.03839159426146688,0.0558974358974359,-52000098.0,4,2.0
0.7333333333333333,0.6475563909774436,0.05982725932167687,0.09666666666666668,-40000110.0,5,0.0
0.7266666666666667,0.6141539619800489,0.04697703812934484,0.07777777777777772,-41000109.0,5,0.3
0.7133333333333334,0.5868297995003523,0.04697703812934484,0.07833333333333337,-43000107.0,5,0.6
0.7066666666666667,0.5416666666666666,0.034126816937012805,0.04555555555555557,-44000106.0,5,1.0
0.7133333333333334,0.5463816020817216,0.022751211291341833,0.03888888888888886,-43000107.0,5,1.5
0.7066666666666667,0.5297805642633229,0.022751211291341833,0.046111111111111214,-44000106.0,5,2.0
0.7266666666666667,0.6585420021098218,0.08426842684268432,0.11376344086021506,-41000109.0,6,0.0
0.7,0.6068953468056607,0.07436743674367441,0.12215053763440853,-45000105.0,6,0.3
0.6866666666666666,0.5576886881234707,0.08910891089108908,0.1172043010752688,-47000103.0,6,0.6
0.7,0.5676125808724617,0.06930693069306926,0.1038709677419355,-45000105.0,6,1.0
0.6866666666666666,0.5164277385280197,0.04950495049504955,0.07999999999999996,-47000103.0,6,1.5
0.6733333333333333,0.4693523933290015,0.03960396039603964,0.053333333333333344,-49000101.0,6,2.0
0.6666666666666666,0.5866402116402116,0.019126912691269204,0.07708333333333328,-50000100.0,7,0.0
0.68,0.5972253300514656,0.022052205220522092,0.07937499999999997,-48000102.0,7,0.3
0.68,0.5841995841995842,0.0022502250225022724,0.06833333333333336,-48000102.0,7,0.6
0.6933333333333334,0.5796783625730995,0.008100810081008047,0.05958333333333332,-46000104.0,7,1.0
0.7133333333333334,0.5953322040278561,0.0011251125112510252,0.055208333333333304,-43000107.0,7,1.5
0.7133333333333334,0.5777414075286416,0.018676867686768683,0.028541666666666687,-43000107.0,7,2.0
0.6733333333333333,0.571952710966164,0.096947194719472,0.08666666666666667,-49000101.0,8,0.0
0.6733333333333333,0.5564540462253333,0.09797854785478544,0.10285714285714287,-49000101.0,8,0.3
0.68,0.5614035087719298,0.1089108910891089,0.1104761904761905,-48000102.0,8,0.6
0.6866666666666666,0.5384615384615385,0.06930693069306926,0.09238095238095245,-47000103.0,8,1.0
0.6733333333333333,0.5077355836849508,0.06930693069306926,0.09333333333333338,-49000101.0,8,1.5
0.66,0.47527265244529804,0.06930693069306926,0.07999999999999996,-51000099.0,8,2.0
0.6866666666666666,0.5822222222222222,0.04445342493433013,0.07333333333333336,-47000103.0,9,0.0
0.68,0.569480985410189,0.04445342493433013,0.06666666666666665,-48000102.0,9,0.3
0.7,0.5765104460756635,0.04324105879975759,0.07619047619047614,-45000105.0,9,0.6
0.7133333333333334,0.5777414075286416,0.011719539300868775,0.049523809523809526,-43000107.0,9,1.0
0.6933333333333334,0.5323936026023313,0.011719539300868775,0.043809523809523854,-46000104.0,9,1.5
0.6866666666666666,0.504184541810254,0.021620529399878685,0.03809523809523807,-47000103.0,9,2.0
