educ,age,inc_q,emp_in,mobileowner,internetaccess,account,female
3,31,3,1,1,1,1,1
1,60,2,1,2,1,1,0
2,34,3,1,1,1,1,1
2,22,3,1,1,1,1,1
3,26,4,1,1,1,1,0
2,24,4,1,1,2,0,1
3,24,5,1,1,1,1,1
2,21,4,1,1,1,0,0
3,20,5,1,1,1,1,1
2,40,5,1,1,1,1,0
2,39,4,1,1,2,0,1
2,35,5,1,1,1,1,1
3,56,3,1,1,1,0,0
3,58,5,1,1,1,1,0
2,52,4,1,1,1,1,0
2,19,2,1,1,2,0,1
2,32,5,1,1,1,1,1
2,32,5,1,1,1,1,0
3,53,4,1,1,1,1,0
1,58,1,1,1,2,1,0
2,27,2,1,1,1,1,0
2,20,5,1,1,1,1,1
1,66,2,2,1,2,0,0
1,45,3,1,1,2,1,0
3,25,4,1,1,1,1,0
2,16,2,2,1,1,1,0
1,66,4,2,1,2,0,0
1,74,2,2,1,2,1,0
2,30,1,1,1,2,1,0
2,30,5,1,1,2,0,1
2,18,1,2,1,1,0,0
2,32,3,1,1,1,1,0
2,55,5,1,1,1,1,1
2,18,1,1,2,2,0,0
2,21,4,1,1,1,0,0
3,27,4,1,1,1,1,0
1,62,2,2,1,2,0,0
2,26,4,1,1,1,1,0
2,29,5,1,1,1,1,0
1,33,4,1,1,2,0,1
1,42,4,1,1,1,1,0
2,32,3,2,1,2,0,0
3,26,3,1,1,2,0,0
1,49,2,1,1,1,1,1
2,24,4,1,1,1,0,1
1,38,1,1,1,1,1,1
2,36,4,1,1,1,1,0
2,50,3,1,1,2,1,0
2,72,5,1,1,2,1,0
2,50,4,1,1,1,0,0
1,62,1,1,1,1,0,1
3,29,3,1,1,1,1,0
2,43,2,1,1,2,0,0
2,36,4,1,1,1,1,0
2,24,4,1,1,1,1,1
2,27,3,1,1,1,1,1
2,19,5,1,1,1,1,0
2,23,1,1,1,2,1,0
2,33,2,1,1,1,1,0
1,56,3,1,1,1,1,1
2,26,5,1,1,1,1,1
2,47,3,2,1,1,0,0
2,37,4,1,1,1,1,1
2,45,3,1,1,2,1,1
3,72,5,1,1,1,1,0
2,23,4,1,1,1,0,1
2,27,3,1,1,1,1,0
