educ,age,inc_q,emp_in,mobileowner,internetaccess,account,female
2,48,4,1,1,1,0,0
2,44,2,1,1,1,1,1
2,39,3,2,1,1,1,0
2,59,1,1,1,1,0,0
2,26,4,1,1,1,1,1
2,65,5,2,2,2,1,0
2,59,4,1,1,1,0,0
1,73,2,2,2,2,0,0
2,58,3,2,2,2,0,0
2,31,4,1,1,1,1,1
2,72,1,1,1,2,0,1
1,69,1,2,2,2,0,0
2,45,3,1,1,1,0,1
2,35,3,1,1,1,1,1
2,34,5,1,1,1,1,0
1,41,3,2,1,2,0,0
2,23,2,1,1,1,1,1
2,20,5,1,1,1,1,1
2,33,5,1,1,1,1,1
2,30,5,1,1,1,1,1
2,45,1,1,2,2,0,0
2,58,5,1,1,1,0,0
2,50,5,1,1,1,1,1
2,45,3,1,1,1,1,1
2,71,5,1,1,1,1,1
2,22,3,2,1,1,1,0
2,21,5,1,1,1,1,0
2,17,3,1,2,1,0,1
3,30,4,1,1,1,1,1
3,62,5,1,1,1,1,1
1,77,4,2,1,2,0,0
1,67,5,2,1,2,0,1
2,49,4,2,1,1,1,0
2,21,5,1,1,1,1,0
2,47,5,1,1,1,1,1
2,59,2,1,1,1,0,1
2,43,3,2,1,2,0,0
2,20,4,2,1,1,0,0
2,16,1,1,1,2,0,0
2,17,4,2,1,1,1,0
1,37,1,1,2,2,1,0
2,27,3,1,1,1,1,0
2,32,1,1,1,1,1,0
2,44,4,1,2,1,0,1
1,52,1,1,1,1,0,0
2,21,4,1,1,1,1,0
2,21,4,1,1,2,1,1
2,65,5,2,1,1,1,1
2,23,3,1,1,1,1,0
2,69,5,1,1,1,1,1
1,50,1,1,1,2,0,0
1,59,1,1,1,1,1,0
2,24,2,1,1,1,1,0
2,64,5,1,2,2,1,0
2,29,4,1,1,1,1,1
3,28,5,1,2,1,1,1
2,21,3,1,1,1,0,0
3,23,4,1,1,1,1,1
2,41,2,1,1,2,0,0
2,22,4,1,1,1,0,1
1,59,1,1,1,2,1,0
2,47,3,1,1,1,1,0
2,67,4,1,1,1,1,0
2,18,3,1,1,1,0,0
2,52,4,1,1,1,0,0
2,33,5,1,1,1,0,1
2,23,5,2,1,1,0,0
2,19,4,1,1,1,1,1
2,21,4,1,1,1,1,1
2,19,1,1,1,1,0,1
2,33,1,1,1,1,1,0
2,24,5,1,1,1,1,1
2,39,4,1,1,1,0,1
2,23,5,1,1,1,1,0
2,29,4,1,2,1,1,0
3,48,5,1,1,1,1,1
2,18,2,2,1,2,0,0
2,15,2,1,1,1,1,0
2,66,5,2,1,1,1,0
2,81,2,1,1,2,0,1
2,45,5,1,1,1,1,1
2,55,4,2,1,1,0,0
2,19,5,1,1,1,0,1
2,54,5,1,1,1,1,0
2,33,2,1,1,1,1,1
1,23,5,1,2,1,0,1
3,25,4,1,1,1,1,0
2,61,2,1,2,2,0,1
2,37,3,1,1,1,1,0
1,66,3,1,1,2,0,1
2,62,3,1,1,1,0,0
2,31,4,1,1,1,1,0
1,32,1,2,2,2,0,0
2,27,2,1,1,1,1,0
2,29,5,1,1,1,1,1
2,46,2,1,1,2,1,1
2,34,3,1,1,1,0,1
2,49,5,1,1,1,1,0
2,35,5,1,1,1,1,0
1,39,1,2,1,1,1,0
1,45,1,1,2,2,0,1
2,32,3,1,1,1,0,0
2,36,3,1,1,1,1,0
2,21,1,1,1,1,0,0
2,25,5,1,1,1,1,1
2,52,5,1,1,1,1,1
3,29,5,1,1,1,1,0
2,36,2,1,1,1,0,0
2,32,2,2,2,2,0,0
2,48,1,1,1,2,0,1
2,36,4,1,1,1,0,1
1,66,4,1,2,2,0,1
2,16,3,1,1,2,0,1
2,19,4,1,1,1,1,1
1,29,2,2,2,2,0,0
2,22,5,1,1,1,1,1
2,58,1,1,1,2,0,0
2,25,3,1,1,1,1,0
2,27,1,1,1,1,1,0
2,35,2,1,1,2,0,0
2,57,4,1,1,1,1,0
2,63,4,2,1,2,1,1
2,54,2,1,1,1,0,0
1,39,2,1,1,2,0,0
3,32,4,1,1,1,0,1
2,25,3,1,1,2,1,0
3,40,5,1,1,1,1,0
2,51,3,1,1,1,0,0
2,23,2,1,1,1,1,0
2,30,2,1,1,2,1,0
2,55,3,1,2,2,0,0
2,53,4,1,1,1,0,0
1,77,1,2,2,2,0,0
2,18,3,2,1,2,0,1
2,19,1,2,1,1,0,0
2,54,2,1,1,1,0,1
3,60,5,1,1,1,1,1
3,27,5,1,1,1,1,0
2,33,3,1,1,1,0,1
2,53,2,1,1,1,0,1
1,62,3,1,2,2,1,1
2,49,2,1,1,1,1,0
2,19,3,2,2,2,0,0
2,25,4,1,1,1,0,1
2,24,5,1,1,1,1,0
3,38,5,1,1,1,1,0
1,65,4,1,1,2,1,1
2,31,1,1,1,2,1,0
2,37,2,1,2,2,0,0
2,26,2,1,1,1,0,0
2,51,3,1,1,1,1,1
2,53,3,1,1,2,0,0
1,15,2,2,1,1,0,0
2,48,3,1,1,1,0,1
2,18,4,1,2,1,0,1
2,25,2,1,1,1,1,0
2,20,2,2,1,1,1,0
1,31,1,1,1,1,0,0
2,19,5,2,1,1,1,0
3,33,5,1,1,1,1,1
2,43,2,1,1,1,1,0
2,27,1,1,1,1,0,0
3,25,5,1,1,1,1,0
2,38,2,1,1,1,1,0
1,53,1,2,1,1,0,0
2,17,1,2,1,1,0,0
2,23,5,1,1,1,0,1
2,57,3,2,1,1,0,0
2,19,4,1,1,1,1,1
2,18,3,1,1,1,1,0
3,26,5,1,1,1,1,0
1,47,2,1,2,2,0,1
2,77,1,2,1,1,0,0
2,40,2,1,1,1,1,0
2,78,3,2,1,2,1,1
2,29,2,1,1,1,1,0
2,19,5,1,1,1,1,0
2,35,2,1,1,1,0,0
2,39,2,2,2,2,0,0
1,38,1,1,1,2,0,0
2,46,1,1,1,1,1,0
3,23,4,1,1,1,1,1
3,46,5,1,1,1,1,0
2,15,3,2,1,1,0,0
2,52,3,2,1,1,0,0
1,62,2,2,1,2,0,0
1,52,1,2,1,2,0,0
1,45,3,1,2,2,0,0
1,24,1,2,1,2,1,0
2,36,4,1,1,2,1,0
2,62,4,2,2,2,0,0
2,20,4,2,1,1,0,0
2,60,5,1,1,2,0,1
2,27,5,1,1,1,1,1
2,51,4,1,1,1,0,0
3,77,5,2,1,2,1,1
2,32,2,1,1,1,0,0
1,77,5,2,2,2,0,0
2,55,5,1,1,1,1,1
2,40,1,1,1,2,0,0
2,54,4,2,1,1,1,0
3,77,4,2,2,1,0,1
2,21,4,2,1,1,1,0
2,39,3,1,1,1,1,0
2,30,5,1,1,1,1,0
3,49,4,1,1,1,1,0
2,34,2,2,1,1,0,0
2,33,2,2,1,1,0,0
2,40,2,1,1,1,0,1
2,16,1,2,1,1,0,1
2,35,3,1,1,1,0,0
1,50,1,2,1,2,0,1
2,68,4,2,2,2,0,0
1,61,3,1,1,2,1,0
2,51,5,1,1,2,1,0
3,24,5,1,1,1,1,1
2,25,1,1,1,2,0,1
2,53,1,1,1,1,0,0
2,38,4,2,1,1,0,0
1,70,4,1,1,2,1,1
2,23,1,1,1,2,1,0
2,15,3,2,1,1,0,1
2,20,4,2,1,1,1,0
2,19,5,2,1,1,1,1
2,32,2,2,1,1,0,0
2,20,5,1,1,1,0,0
2,22,4,1,1,1,1,0
3,28,5,1,1,1,1,1
1,40,4,1,1,2,1,1
2,36,4,1,1,2,1,0
3,59,5,1,1,1,1,1
2,45,4,1,1,1,1,1
2,46,4,1,1,1,0,0
2,29,3,1,1,1,1,0
2,30,3,1,1,1,1,0
3,53,5,1,1,1,0,1
1,47,3,1,1,1,1,0
2,63,3,2,1,1,1,0
2,62,5,1,1,1,1,0
2,43,4,1,1,1,1,0
2,27,2,1,1,1,1,0
3,33,5,1,1,1,1,0
3,40,3,1,1,1,1,0
1,73,1,2,1,2,0,0
2,28,4,1,1,1,1,0
2,69,2,2,1,2,0,0
2,18,4,1,1,1,0,1
2,43,1,1,2,2,0,1
2,15,3,1,2,1,1,0
2,22,3,1,1,1,0,0
2,21,5,2,1,1,1,0
2,19,5,2,1,1,1,0
2,21,4,2,1,1,1,0
2,31,5,1,1,1,1,0
2,23,2,1,1,1,1,1
2,23,1,2,1,1,1,0
2,16,3,2,1,1,0,0
2,54,5,1,1,1,0,1
2,27,1,1,1,1,1,0
2,24,4,1,1,2,0,0
2,22,4,1,1,1,1,0
2,27,3,1,1,1,0,1
2,32,4,1,1,1,1,1
1,46,3,1,1,2,0,1
2,42,3,1,1,2,0,0
1,84,1,2,2,2,1,1
2,60,3,2,1,2,0,0
1,59,3,2,1,2,1,0
2,36,5,1,1,1,0,0
2,30,5,1,1,2,1,1
2,19,5,1,1,1,1,0
2,22,5,1,1,1,1,1
3,39,5,1,1,1,1,1
2,47,5,1,1,1,1,1
3,39,3,1,1,1,1,0
2,79,3,1,1,2,0,1
2,19,1,1,1,1,0,1
2,50,4,1,1,1,0,0
2,21,4,1,2,1,1,1
2,20,3,1,1,1,1,0
4,58,2,1,2,2,1,0
2,50,1,1,1,1,0,1
2,71,5,2,1,1,1,0
3,48,2,1,1,1,1,1
2,35,3,1,1,1,1,1
1,67,4,2,2,2,0,0
2,58,3,2,1,1,1,0
